City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,15.85,95,100,11.64,SH,1687227006
1,kasama,-10.2129,31.1808,10.15,71,8,1.3,ZM,1687227238
2,tionk essil,12.7856,-16.5217,27.03,83,59,3.07,SN,1687227239
3,flekkefjord,58.2971,6.6607,16.43,92,98,4.52,NO,1687227240
4,hawaiian paradise park,19.5933,-154.9731,25.02,87,100,2.06,US,1687227024
5,lebu,-37.6167,-73.65,11.44,82,100,1.57,CL,1687227024
6,puerto natales,-51.7236,-72.4875,-0.93,91,100,1.51,CL,1687227005
7,masallatah,32.6167,14.0,21.18,57,0,5.22,LY,1687227241
8,adamstown,-25.066,-130.1015,23.78,81,79,10.48,PN,1687227008
9,alta sierra,35.7291,-118.5495,15.06,34,34,5.07,US,1687227241
10,sao joao da barra,-21.6403,-41.0511,19.67,74,60,4.95,BR,1687227242
11,acarau,-2.8856,-40.12,25.27,87,58,3.85,BR,1687227123
12,atafu village,-8.5421,-172.5159,28.23,67,11,4.43,TK,1687227050
13,stanley,54.868,-1.6985,12.65,93,0,0.0,GB,1687227025
14,myeik,12.4333,98.6,27.33,82,100,2.4,MM,1687227243
15,yellowknife,62.456,-114.3525,15.87,48,63,4.47,CA,1687227020
16,constantia,44.1833,28.65,16.5,85,38,3.66,RO,1687227059
17,longyearbyen,78.2186,15.6401,4.91,87,75,1.03,SJ,1687227024
18,albany,42.6001,-73.9662,18.82,81,82,0.57,US,1687226967
19,wailua homesteads,22.0669,-159.378,27.24,74,40,5.14,US,1687227008
20,shalqar,47.8333,59.6,13.28,43,0,6.13,KZ,1687227245
21,corn island,12.1694,-83.0418,28.16,81,100,6.33,NI,1687227245
22,bethel,41.3712,-73.414,19.38,82,0,2.57,US,1687226914
23,badger,64.8,-147.5333,20.28,41,100,3.6,US,1687227063
24,qaqortoq,60.7167,-46.0333,1.92,86,32,0.4,GL,1687227021
25,cururupu,-1.8283,-44.8683,22.89,97,23,0.9,BR,1687227246
26,vadso,70.0744,29.7487,7.49,81,75,6.69,NO,1687227013
27,whitehorse,60.7161,-135.0538,22.23,32,54,4.02,CA,1687227010
28,port-aux-francais,-49.35,70.2167,3.05,66,68,13.57,TF,1687227007
29,ola,59.5833,151.2833,13.56,74,34,3.3,RU,1687227248
30,tiksi,71.6872,128.8694,8.56,81,100,4.85,RU,1687227018
31,hami,42.8,93.45,34.83,6,17,4.45,CN,1687227087
32,invercargill,-46.4,168.35,11.93,77,77,1.32,NZ,1687227009
33,nuku'alofa,-21.1333,-175.2,24.19,73,40,2.06,TO,1687227187
34,laascaanood,8.4774,47.3597,23.3,64,100,11.35,SO,1687227249
35,berezovo,63.9381,65.0419,6.97,76,100,5.04,RU,1687227006
36,sao gabriel da cachoeira,-0.1303,-67.0892,22.64,96,90,0.77,BR,1687227250
37,st. john's,47.5649,-52.7093,6.65,97,100,3.58,CA,1687226943
38,waitangi,-43.9535,-176.5597,12.12,80,58,4.02,NZ,1687227005
39,nova vicosa,-17.8919,-39.3719,22.9,68,1,6.31,BR,1687227093
40,luganville,-15.5333,167.1667,26.0,68,79,3.99,VU,1687227251
41,bergerac,44.8333,0.5,19.21,88,99,3.09,FR,1687226834
42,bredasdorp,-34.5322,20.0403,8.7,76,96,5.14,ZA,1687227072
43,bilibino,68.0546,166.4372,18.91,31,27,8.58,RU,1687227001
44,udachny,66.4167,112.4,13.03,37,100,4.45,RU,1687227016
45,grytviken,-54.2811,-36.5092,-2.98,83,18,5.0,GS,1687226999
46,jianguang,28.1938,115.7836,25.33,96,100,1.88,CN,1687227252
47,kulachi,31.9286,70.4592,37.11,33,1,0.87,PK,1687227253
48,kavieng,-2.5744,150.7967,29.09,73,98,3.88,PG,1687227011
49,fale old settlement,-9.3852,-171.2468,28.13,68,23,3.9,TK,1687227099
50,ilulissat,69.2167,-51.1,6.01,65,75,1.03,GL,1687226869
51,tsiombe,-25.3,45.4833,16.52,78,0,2.91,MG,1687226870
52,broome,42.2506,-75.833,21.41,84,100,1.81,US,1687227160
53,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,87,75,3.0,RU,1687226975
54,mount pearl,47.5166,-52.7813,6.19,97,100,1.34,CA,1687227255
